id,keywords
902,"[{'id': 402, 'name': 'clone'}, {'id': 1566, 'name': 'dream'}, {'id': 2041, 'name': 'island'}, {'id': 4484, 'name': 'eye'}, {'id': 4565, 'name': 'dystopia'}, {'id': 4995, 'name': 'aging'}, {'id': 6054, 'name': 'friendship'}, {'id': 10084, 'name': 'rescue'}, {'id': 10103, 'name': 'children'}, {'id': 14659, 'name': 'girl'}, {'id': 157955, 'name': 'childhood'}]"
37557,"[{'id': 964, 'name': 'servant'}, {'id': 2311, 'name': 'cabaret'}, {'id': 2682, 'name': 'shanghai'}, {'id': 2992, 'name': 'diva'}, {'id': 6464, 'name': 'uncle'}, {'id': 11869, 'name': 'mistress'}, {'id': 41277, 'name': 'umbrella'}]"
78802,[]
49133,"[{'id': 10183, 'name': 'independent film'}]"
11010,"[{'id': 2041, 'name': 'island'}, {'id': 3344, 'name': 'letter'}, {'id': 4461, 'name': 'postman'}, {'id': 5420, 'name': 'fisherman'}, {'id': 5933, 'name': 'poet'}]"
99040,[]
4482,"[{'id': 128, 'name': 'love triangle'}, {'id': 2335, 'name': 'southern france'}, {'id': 2918, 'name': 'estate agent'}, {'id': 3190, 'name': 'menage a trois'}, {'id': 4580, 'name': 'van'}, {'id': 187056, 'name': 'woman director'}]"
48750,"[{'id': 90, 'name': 'paris'}, {'id': 745, 'name': 'nun'}, {'id': 2792, 'name': 'boxer'}, {'id': 10909, 'name': 'lawyer'}, {'id': 11508, 'name': 'jewish'}]"
46785,"[{'id': 1357, 'name': 'fish'}, {'id': 10594, 'name': 'money'}, {'id': 33648, 'name': 'celebration'}, {'id': 40846, 'name': 'goldfish'}]"
880,"[{'id': 236, 'name': 'suicide'}, {'id': 240, 'name': 'underdog'}, {'id': 460, 'name': 'free love'}, {'id': 490, 'name': 'philosophy'}, {'id': 570, 'name': 'rape'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 936, 'name': 'loss of mother'}, {'id': 1842, 'name': 'village life'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2383, 'name': 'feminism'}, {'id': 3154, 'name': 'indian summer '}, {'id': 3371, 'name': 'family history'}, {'id': 4129, 'name': 'widow'}, {'id': 4402, 'name': 'peasant'}, {'id': 5331, 'name': 'village'}, {'id': 6009, 'name': 'mathematics'}, {'id': 6089, 'name': 'freedom'}, {'id': 6145, 'name': 'right and justice'}, {'id': 9457, 'name': 'single'}, {'id': 10180, 'name': 'homosexuality'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 11925, 'name': 'domestic violence'}, {'id': 13160, 'name': 'university'}, {'id': 187056, 'name': 'woman director'}]"
406,"[{'id': 90, 'name': 'paris'}, {'id': 376, 'name': 'neo-nazi'}, {'id': 379, 'name': 'skinhead'}, {'id': 642, 'name': 'robbery'}, {'id': 796, 'name': 'police brutality'}, {'id': 898, 'name': 'hip-hop'}, {'id': 1419, 'name': 'gun'}, {'id': 1952, 'name': 'socially deprived family'}, {'id': 1974, 'name': 'breakdance'}, {'id': 1975, 'name': 'arabian'}, {'id': 3925, 'name': 'boredom'}, {'id': 9748, 'name': 'revenge'}, {'id': 14632, 'name': 'suburb'}, {'id': 14819, 'name': 'violence'}, {'id': 15090, 'name': 'police officer'}, {'id': 156052, 'name': 'unemployment'}, {'id': 156702, 'name': 'capture'}, {'id': 160910, 'name': 'xenophobia'}]"
11907,"[{'id': 530, 'name': 'prophecy'}, {'id': 3392, 'name': 'voodoo'}, {'id': 9457, 'name': 'single'}, {'id': 13072, 'name': 'falling in love'}, {'id': 187056, 'name': 'woman director'}, {'id': 196682, 'name': 'rich man'}]"
33542,"[{'id': 242, 'name': 'new york'}, {'id': 779, 'name': 'martial arts'}, {'id': 1545, 'name': 'supermarket'}, {'id': 2987, 'name': 'gang war'}, {'id': 4640, 'name': 'disabled child'}, {'id': 10726, 'name': 'gang'}, {'id': 13027, 'name': 'wedding'}, {'id': 33461, 'name': 'diamond'}, {'id': 161307, 'name': 'bronx'}, {'id': 179431, 'name': 'duringcreditsstinger'}]"
11104,"[{'id': 1595, 'name': 'ex-girlfriend'}, {'id': 3391, 'name': 'drug smuggle'}, {'id': 5490, 'name': 'girlfriend'}, {'id': 6618, 'name': 'snack bar'}, {'id': 9840, 'name': 'romance'}, {'id': 12354, 'name': 'hong kong'}, {'id': 180294, 'name': 'pineapple'}, {'id': 185265, 'name': 'expiration date'}, {'id': 185266, 'name': 'flight attendant'}]"
37975,[]
73067,"[{'id': 5202, 'name': 'boy'}, {'id': 13028, 'name': 'writer'}, {'id': 14985, 'name': 'ireland'}, {'id': 187844, 'name': 'flashback'}, {'id': 208501, 'name': 'troop ship'}]"
55475,"[{'id': 242, 'name': 'new york'}, {'id': 1625, 'name': 'emigration'}, {'id': 190019, 'name': 'dominican republic'}]"
649,"[{'id': 549, 'name': 'prostitute'}, {'id': 596, 'name': 'adultery'}, {'id': 848, 'name': 'double life'}, {'id': 851, 'name': 'dual identity'}, {'id': 931, 'name': 'jealousy'}, {'id': 1157, 'name': 'wife husband relationship'}, {'id': 1411, 'name': 'brothel'}, {'id': 1566, 'name': 'dream'}, {'id': 2316, 'name': ""women's sexual identity""}, {'id': 2486, 'name': 'fantasy'}, {'id': 3260, 'name': 'masochism'}, {'id': 10183, 'name': 'independent film'}]"
5967,"[{'id': 3296, 'name': 'car mechanic'}, {'id': 3344, 'name': 'letter'}, {'id': 4344, 'name': 'musical'}, {'id': 6091, 'name': 'war'}, {'id': 9457, 'name': 'single'}]"
50797,"[{'id': 1157, 'name': 'wife husband relationship'}, {'id': 10786, 'name': 'colonel'}]"
62488,"[{'id': 10051, 'name': 'heist'}, {'id': 160945, 'name': 'expectant father'}]"
10451,"[{'id': 1918, 'name': 'cooking'}, {'id': 2875, 'name': 'sense of life'}, {'id': 5600, 'name': 'daughter'}, {'id': 13043, 'name': 'dating'}, {'id': 18035, 'name': 'family'}]"
10954,"[{'id': 380, 'name': 'brother brother relationship'}, {'id': 2199, 'name': 'opera'}, {'id': 4001, 'name': 'eunuch'}, {'id': 5565, 'name': 'biography'}, {'id': 6384, 'name': 'dresden'}, {'id': 164920, 'name': 'opera singer'}]"
17961,[]
101,"[{'id': 242, 'name': 'new york'}, {'id': 417, 'name': 'corruption'}, {'id': 782, 'name': 'assassin'}, {'id': 796, 'name': 'police brutality'}, {'id': 1465, 'name': 'loss of family'}, {'id': 1470, 'name': 's.w.a.t.'}, {'id': 2356, 'name': 'immigrant'}, {'id': 2708, 'name': 'hitman'}, {'id': 4613, 'name': 'training'}, {'id': 9748, 'name': 'revenge'}, {'id': 9826, 'name': 'murder'}, {'id': 9957, 'name': 'loneliness'}, {'id': 10226, 'name': 'neighbor'}, {'id': 10703, 'name': 'tragic love'}, {'id': 34117, 'name': 'cult film'}, {'id': 207268, 'name': 'neo-noir'}, {'id': 233083, 'name': 'complex relationship'}, {'id': 233084, 'name': 'complex characters'}]"
25296,[]
10452,"[{'id': 3686, 'name': 'marriage of convenience'}, {'id': 8846, 'name': 'konfession'}, {'id': 9920, 'name': 'royalty'}, {'id': 10089, 'name': 'slaughter'}]"
161495,"[{'id': 1158, 'name': 'grandfather grandson relationship'}, {'id': 1253, 'name': 'roommate'}, {'id': 1421, 'name': 'birthday'}, {'id': 3739, 'name': 'funeral'}, {'id': 4459, 'name': 'vegetarian'}, {'id': 13014, 'name': 'orphan'}, {'id': 190012, 'name': 'deathbed'}]"
110,"[{'id': 934, 'name': 'judge'}, {'id': 1533, 'name': 'isolation'}, {'id': 2863, 'name': 'mannequin'}, {'id': 4918, 'name': 'shadowing'}, {'id': 5259, 'name': 'english channel'}, {'id': 5260, 'name': 'geneva'}, {'id': 9935, 'name': 'travel'}, {'id': 15162, 'name': 'dog'}]"
108,"[{'id': 90, 'name': 'paris'}, {'id': 1233, 'name': 'composer'}, {'id': 4424, 'name': 'pain'}, {'id': 4549, 'name': 'loss of husband'}, {'id': 5257, 'name': 'to compose'}]"
109,"[{'id': 928, 'name': 'hairdresser'}, {'id': 2039, 'name': 'sexual frustration'}, {'id': 3739, 'name': 'funeral'}, {'id': 4480, 'name': 'business man'}, {'id': 21747, 'name': 'poland'}]"
159185,[]
12527,"[{'id': 237, 'name': 'gay'}, {'id': 701, 'name': 'cuba'}, {'id': 2679, 'name': 'artist'}, {'id': 3230, 'name': 'male friendship'}, {'id': 9395, 'name': 'havanna'}, {'id': 10180, 'name': 'homosexuality'}, {'id': 11479, 'name': 'social commentary'}, {'id': 12105, 'name': 'student'}]"
31439,"[{'id': 395, 'name': 'gambling'}, {'id': 478, 'name': 'china'}, {'id': 516, 'name': 'child abuse'}, {'id': 2109, 'name': 'communist'}, {'id': 6917, 'name': 'epic'}]"
41580,[]
10997,"[{'id': 237, 'name': 'gay'}, {'id': 478, 'name': 'china'}, {'id': 3679, 'name': 'society'}, {'id': 7439, 'name': 'woman between two men'}, {'id': 10183, 'name': 'independent film'}, {'id': 12392, 'name': 'best friend'}, {'id': 33683, 'name': 'beijing'}]"
5879,"[{'id': 233, 'name': 'japan'}, {'id': 931, 'name': 'jealousy'}, {'id': 1411, 'name': 'brothel'}, {'id': 2483, 'name': 'nudity'}, {'id': 2983, 'name': 'passion'}, {'id': 4115, 'name': 'longing'}, {'id': 4342, 'name': 'geisha'}, {'id': 4481, 'name': 'deceived wife'}, {'id': 5502, 'name': 'castration'}, {'id': 5579, 'name': 'strangle'}, {'id': 10183, 'name': 'independent film'}, {'id': 12420, 'name': 'unsimulated sex'}, {'id': 13059, 'name': 'prostitution'}, {'id': 197508, 'name': 'erotic 70s'}]"
41878,[]
41653,"[{'id': 494, 'name': 'father son relationship'}, {'id': 516, 'name': 'child abuse'}, {'id': 625, 'name': 'sadistic'}, {'id': 818, 'name': 'based on novel'}, {'id': 1773, 'name': 'socialism'}, {'id': 2606, 'name': 'jew'}, {'id': 3508, 'name': 'underwear'}, {'id': 3603, 'name': 'fascist'}, {'id': 4313, 'name': 'condom'}, {'id': 6069, 'name': 'class'}, {'id': 9888, 'name': 'spanking'}, {'id': 10144, 'name': 'anti semitism'}, {'id': 10683, 'name': 'coming of age'}, {'id': 11508, 'name': 'jewish'}, {'id': 11935, 'name': 'working class'}, {'id': 15129, 'name': 'vagina'}, {'id': 155275, 'name': 'fingering'}, {'id': 157912, 'name': 'bigotry'}, {'id': 157955, 'name': 'childhood'}, {'id': 159959, 'name': 'reform school'}, {'id': 174254, 'name': 'slingshot'}, {'id': 188987, 'name': 'boyfriend girlfriend relationship'}, {'id': 214548, 'name': '1930s'}]"
68806,[]
25403,"[{'id': 10183, 'name': 'independent film'}]"
41043,"[{'id': 90, 'name': 'paris'}, {'id': 977, 'name': 'cat'}, {'id': 2176, 'name': 'music teacher'}, {'id': 10508, 'name': 'teacher'}, {'id': 33632, 'name': 'apartment'}]"
51242,"[{'id': 1223, 'name': 'switzerland'}, {'id': 2346, 'name': 'worker'}, {'id': 2356, 'name': 'immigrant'}, {'id': 157192, 'name': 'hardship'}, {'id': 160910, 'name': 'xenophobia'}, {'id': 214887, 'name': 'foreigners'}]"
4307,"[{'id': 514, 'name': 'spain'}, {'id': 744, 'name': 'madrid'}, {'id': 1252, 'name': 'suicide attempt'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 155251, 'name': 'novelist'}, {'id': 172972, 'name': 'old woman'}]"
88893,"[{'id': 1262, 'name': 'mountain'}, {'id': 4560, 'name': 'mountaineer'}, {'id': 8624, 'name': 'climbing'}]"
52873,"[{'id': 9824, 'name': 'reunion'}, {'id': 10937, 'name': 'memory'}, {'id': 207317, 'name': 'christmas'}]"
11479,"[{'id': 90, 'name': 'paris'}, {'id': 494, 'name': 'father son relationship'}, {'id': 5968, 'name': 'amazon'}, {'id': 10787, 'name': 'jungle'}, {'id': 155816, 'name': 'ex-wife'}]"
398959,[]
287305,[]
339428,"[{'id': 572, 'name': 'sex'}, {'id': 596, 'name': 'adultery'}, {'id': 2426, 'name': 'group sex'}, {'id': 3183, 'name': 'bisexuality'}]"
12652,"[{'id': 965, 'name': 'age difference'}, {'id': 4193, 'name': 'retiree'}]"
68445,"[{'id': 167043, 'name': 'road movie'}]"
10801,"[{'id': 2587, 'name': 'married couple'}, {'id': 3096, 'name': 'book'}, {'id': 4481, 'name': 'deceived wife'}, {'id': 5809, 'name': 'marriage crisis'}, {'id': 15160, 'name': 'divorce'}, {'id': 172471, 'name': 'divorce lawyer'}]"
54285,"[{'id': 10226, 'name': 'neighbor'}, {'id': 18293, 'name': 'chef'}, {'id': 208678, 'name': 'anorexic'}]"
278978,[]
124625,[]
10363,"[{'id': 383, 'name': 'poker'}, {'id': 544, 'name': 'sailboat'}, {'id': 851, 'name': 'dual identity'}, {'id': 3180, 'name': 'sailing'}, {'id': 4812, 'name': 'plan'}, {'id': 6149, 'name': 'police'}, {'id': 9937, 'name': 'suspense'}, {'id': 33626, 'name': 'millionaire'}, {'id': 155440, 'name': 'hitchcockian'}, {'id': 155845, 'name': 'french noir'}, {'id': 189574, 'name': 'evil man'}, {'id': 209096, 'name': 'forger'}]"
11902,"[{'id': 1956, 'name': 'world war ii'}, {'id': 2251, 'name': 'lie'}, {'id': 2602, 'name': 'cellar'}, {'id': 6110, 'name': 'weapon'}, {'id': 7991, 'name': 'belgrad'}, {'id': 8908, 'name': 'widerstand'}, {'id': 236316, 'name': 'anarchic comedy'}]"
27098,"[{'id': 931, 'name': 'jealousy'}, {'id': 6270, 'name': 'high school'}, {'id': 7464, 'name': 'alcoholism'}, {'id': 7476, 'name': 'older woman seduces younger guy'}, {'id': 10337, 'name': 'cheat on husband'}, {'id': 193547, 'name': 'teachers and students'}]"
5801,"[{'id': 642, 'name': 'robbery'}, {'id': 2232, 'name': 'move'}, {'id': 2385, 'name': 'monsoon'}, {'id': 2467, 'name': 'difficult childhood'}, {'id': 3737, 'name': 'dying and death'}, {'id': 5252, 'name': 'misery'}, {'id': 10093, 'name': 'priest'}, {'id': 10508, 'name': 'teacher'}, {'id': 13028, 'name': 'writer'}, {'id': 34139, 'name': 'railroad'}, {'id': 156052, 'name': 'unemployment'}, {'id': 202735, 'name': 'help'}]"
896,"[{'id': 978, 'name': 'broken engagement'}, {'id': 2692, 'name': 'arranged marriage'}, {'id': 3737, 'name': 'dying and death'}, {'id': 33485, 'name': 'calcutta'}]"
8072,"[{'id': 4565, 'name': 'dystopia'}, {'id': 9887, 'name': 'surrealism'}, {'id': 155517, 'name': 'lemmy caution'}, {'id': 155518, 'name': 'nouvelle vague'}, {'id': 155790, 'name': 'private detective'}, {'id': 155845, 'name': 'french noir'}]"
35797,"[{'id': 155845, 'name': 'french noir'}]"
105045,"[{'id': 7059, 'name': 'anti-communism'}, {'id': 33501, 'name': 'political'}, {'id': 187056, 'name': 'woman director'}]"
117730,[]
44103,"[{'id': 7025, 'name': 'industrial revolution'}]"
62364,[]
11687,"[{'id': 964, 'name': 'servant'}, {'id': 4379, 'name': 'time travel'}, {'id': 5347, 'name': 'clumsy fellow'}, {'id': 41406, 'name': 'middle ages'}, {'id': 177998, 'name': 'nobility'}]"
21588,"[{'id': 6255, 'name': 'insanity'}, {'id': 10327, 'name': 'undead'}, {'id': 11187, 'name': 'grim reaper'}, {'id': 12377, 'name': 'zombie'}, {'id': 162810, 'name': 'macabre'}, {'id': 207769, 'name': 'grotesque'}]"
47119,[]
314352,[]
9323,"[{'id': 310, 'name': 'artificial intelligence'}, {'id': 312, 'name': 'man vs machine'}, {'id': 679, 'name': 'cyborg'}, {'id': 803, 'name': 'android'}, {'id': 2812, 'name': 'computer virus'}, {'id': 4565, 'name': 'dystopia'}, {'id': 8499, 'name': 'implantat'}, {'id': 10718, 'name': 'fugitive'}, {'id': 11322, 'name': 'female protagonist'}, {'id': 12190, 'name': 'cyberpunk'}, {'id': 13141, 'name': 'based on manga'}]"
255546,"[{'id': 3569, 'name': 'latin'}, {'id': 14709, 'name': 'profile'}, {'id': 187056, 'name': 'woman director'}]"
40751,[]
11101,"[{'id': 1956, 'name': 'world war ii'}, {'id': 4264, 'name': 'stalingrad'}]"
124633,"[{'id': 449, 'name': 'yugoslavia'}, {'id': 1900, 'name': 'immigration'}, {'id': 2355, 'name': 'american dream'}, {'id': 7492, 'name': 'serbia'}]"
202425,"[{'id': 160800, 'name': 'congo'}]"
77771,"[{'id': 6544, 'name': 'senegal'}, {'id': 14735, 'name': 'motorcycle'}]"
181083,"[{'id': 409, 'name': 'africa'}, {'id': 7323, 'name': 'savannah'}, {'id': 165804, 'name': 'peddler'}]"
41225,"[{'id': 1523, 'name': 'obsession'}, {'id': 6092, 'name': 'army'}, {'id': 8680, 'name': 'ferrari'}, {'id': 18396, 'name': 'catholic'}, {'id': 33457, 'name': 'alcoholic'}, {'id': 33513, 'name': 'desire'}, {'id': 155317, 'name': 'edgar allan poe'}, {'id': 162262, 'name': 'movie star'}, {'id': 213194, 'name': 'doppelgänger'}]"
123763,"[{'id': 187056, 'name': 'woman director'}]"
81949,[]
78285,"[{'id': 10453, 'name': 'con artist'}, {'id': 159601, 'name': 'cuckold'}]"
77056,[]
172198,"[{'id': 187056, 'name': 'woman director'}]"
35206,"[{'id': 818, 'name': 'based on novel'}, {'id': 2020, 'name': 'revolution'}, {'id': 6285, 'name': ""coup d'etat""}, {'id': 10787, 'name': 'jungle'}, {'id': 10950, 'name': 'shootout'}, {'id': 14819, 'name': 'violence'}, {'id': 33461, 'name': 'diamond'}, {'id': 33685, 'name': 'gold mine'}, {'id': 162365, 'name': 'military'}, {'id': 168723, 'name': 'latin america'}]"
151489,"[{'id': 5933, 'name': 'poet'}]"
4837,"[{'id': 3190, 'name': 'menage a trois'}]"
12632,"[{'id': 1563, 'name': 'prisoner'}, {'id': 2279, 'name': 'bavaria'}, {'id': 4441, 'name': 'nuremberg'}, {'id': 9600, 'name': 'mensch als objekt'}, {'id': 10183, 'name': 'independent film'}]"
9098,"[{'id': 237, 'name': 'gay'}, {'id': 1253, 'name': 'roommate'}, {'id': 3296, 'name': 'car mechanic'}, {'id': 6149, 'name': 'police'}, {'id': 9713, 'name': 'friends'}, {'id': 162842, 'name': 'stolen cars'}, {'id': 221412, 'name': 'colleague'}]"
282919,[]
48144,[]
36266,"[{'id': 14964, 'name': 'drug'}, {'id': 226577, 'name': 'bicycle taxi'}]"
116690,"[{'id': 10235, 'name': 'family relationships'}, {'id': 231044, 'name': 'dying traditions'}, {'id': 231045, 'name': 'social convention'}]"
213917,"[{'id': 187056, 'name': 'woman director'}]"
145925,[]
159,"[{'id': 108, 'name': 'transvestism'}, {'id': 237, 'name': 'gay'}, {'id': 255, 'name': 'male nudity'}, {'id': 566, 'name': 'sexual identity'}, {'id': 823, 'name': 'cologne'}, {'id': 824, 'name': 'drag queen'}, {'id': 825, 'name': 'support group'}, {'id': 826, 'name': 'heterosexual'}, {'id': 827, 'name': 'diashow'}, {'id': 828, 'name': 'waitress'}, {'id': 1326, 'name': 'infidelity'}, {'id': 6054, 'name': 'friendship'}]"
11134,"[{'id': 6149, 'name': 'police'}, {'id': 6328, 'name': 'crook couple'}, {'id': 13142, 'name': 'gangster'}, {'id': 18026, 'name': 'drug lord'}, {'id': 18432, 'name': 'female martial artist'}]"
132641,"[{'id': 818, 'name': 'based on novel'}, {'id': 4183, 'name': 'wife'}, {'id': 6038, 'name': 'marriage'}, {'id': 156455, 'name': 'unhappiness'}]"
241058,[]
11985,"[{'id': 128, 'name': 'love triangle'}, {'id': 931, 'name': 'jealousy'}, {'id': 4951, 'name': 'rejection'}, {'id': 5768, 'name': 'urban life'}, {'id': 7439, 'name': 'woman between two men'}, {'id': 10180, 'name': 'homosexuality'}]"
10232,"[{'id': 2606, 'name': 'jew'}, {'id': 6389, 'name': 'frankfurt am main'}]"
38955,"[{'id': 779, 'name': 'martial arts'}]"
101230,[]
253632,[]
43596,"[{'id': 2471, 'name': 'monarchy'}, {'id': 12965, 'name': 'duel'}, {'id': 13065, 'name': 'soldier'}, {'id': 233055, 'name': 'vienna'}, {'id': 233707, 'name': 'schnitzler'}]"
26933,"[{'id': 128, 'name': 'love triangle'}, {'id': 237, 'name': 'gay'}, {'id': 2065, 'name': 'province'}, {'id': 2506, 'name': 'algerienkrieg'}, {'id': 4653, 'name': 'french'}, {'id': 10180, 'name': 'homosexuality'}, {'id': 10198, 'name': 'gay relationship'}, {'id': 10683, 'name': 'coming of age'}, {'id': 11524, 'name': 'in the closet'}, {'id': 15135, 'name': 'gay sex'}, {'id': 33458, 'name': 'gay man'}, {'id': 34265, 'name': 'heartbreak'}, {'id': 158718, 'name': 'lgbt'}, {'id': 163037, 'name': 'lgbt teen'}, {'id': 192394, 'name': 'broken heart'}]"
